Variable,Date,Price
GDA_TETSTX,2017-12-05,2.76
GDA_TETSTX,2017-12-04,2.8
GDA_TETSTX,2017-12-03,2.8
GDA_TETSTX,2017-12-02,2.8
GDA_TETSTX,2017-12-01,2.845
GDA_TETSTX,2017-11-30,2.98
GDA_TETSTX,2017-11-29,2.87
GDA_TETSTX,2017-11-28,2.75
GDA_TETSTX,2017-11-27,2.83
GDA_TETSTX,2017-11-26,2.83
GDA_TETSTX,2017-11-25,2.83
GDA_TETSTX,2017-11-24,2.83
GDA_TETSTX,2017-11-23,2.83
GDA_TETSTX,2017-11-22,2.925
GDA_TETSTX,2017-11-21,2.91
GDA_TETSTX,2017-11-20,2.93
GDA_TETSTX,2017-11-19,2.93
GDA_TETSTX,2017-11-18,2.93
GDA_TETSTX,2017-11-17,2.945
GDA_TETSTX,2017-11-16,3.01
GDA_TETSTX,2017-11-15,2.99
GDA_TETSTX,2017-11-14,3.01
GDA_TETSTX,2017-11-13,3.035
GDA_TETSTX,2017-11-12,3.035
GDA_TETSTX,2017-11-11,3.035
GDA_TETSTX,2017-11-10,3.1
GDA_TETSTX,2017-11-09,3.08
GDA_TETSTX,2017-11-08,3
GDA_TETSTX,2017-11-07,2.945
GDA_TETSTX,2017-11-06,2.765
GDA_TETSTX,2017-11-05,2.765
GDA_TETSTX,2017-11-04,2.765
GDA_TETSTX,2017-11-03,2.74
GDA_TETSTX,2017-11-02,2.71
GDA_TETSTX,2017-11-01,2.705
GDA_TETSTX,2017-10-31,2.845
GDA_TETSTX,2017-10-30,2.72
GDA_TETSTX,2017-10-29,2.72
GDA_TETSTX,2017-10-28,2.72
GDA_TETSTX,2017-10-27,2.815
GDA_TETSTX,2017-10-26,2.825
GDA_TETSTX,2017-10-25,2.86
GDA_TETSTX,2017-10-24,2.885
GDA_TETSTX,2017-10-23,2.77
GDA_TETSTX,2017-10-22,2.77
GDA_TETSTX,2017-10-21,2.77
GDA_TETSTX,2017-10-20,2.76
GDA_TETSTX,2017-10-19,2.825
