SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
LZ_CPS,2019,04,25.363597222222218,4.99,114.28,14.197624670731082,0.476521730041504
LZ_CPS,2019,05,26.24607526881721,9.35,80.88,9.843087957448546,0.3362830626077497
LZ_CPS,2019,06,26.391291666666675,11.52,155.41,16.04246449816535,0.43510600755203127
LZ_CPS,2019,07,30.66717741935484,11.52,276.56,27.077730478200003,0.5506404845173604
LZ_CPS,2019,08,127.69620967741938,10.84,3504.12,401.5136414355443,1.1915406349460869
LZ_CPS,2019,09,82.43634722222221,8.39,5011.57,379.8961059615473,0.8518917705880332
LZ_CPS,2019,10,33.55360215053763,9.08,846.37,53.66086954681069,0.5372882806427818
LZ_CPS,2019,11,25.575138888888887,4.88,213.22,15.155541121465715,0.40807375169069166
LZ_CPS,2019,12,19.99786290322581,3.86,104.42,7.9342463246526425,0.3256317041189227
LZ_HOUSTON,2016,01,19.563938172043013,5.19,54.94,5.654675260617203,0.27010557705891625
LZ_HOUSTON,2016,02,15.487988505747127,2.1,50.75,5.8209890360780685,0.4604083179662894
LZ_HOUSTON,2016,03,17.206729475100943,1.35,73.24,7.8052462273335905,0.475182502993922
LZ_HOUSTON,2016,04,19.128930555555552,1.26,106.23,10.765909046753059,0.5522088142098149
LZ_HOUSTON,2016,05,19.90399193548387,3.03,76.88,10.639855925260372,0.49621519046030155
LZ_HOUSTON,2016,06,29.91508333333334,4.32,174.68,22.480109378214053,0.555748789908586
LZ_HOUSTON,2016,07,29.911868279569887,10.06,106.26,15.655496426994187,0.4496955383450322
LZ_HOUSTON,2016,08,33.56354838709677,13.49,285.0,34.7563386442228,0.5446047843051667
LZ_HOUSTON,2016,09,29.032680555555558,11.48,214.55,17.38997939866895,0.4143316108347834
LZ_HOUSTON,2016,10,28.545819892473112,3.98,287.59,19.494735076244428,0.47958397697455524
LZ_HOUSTON,2016,11,20.437680555555556,3.06,54.65,7.571880876577429,0.4094743357424145
LZ_HOUSTON,2016,12,25.73684139784946,2.91,143.23,11.349051286814547,0.4246698451972958
LZ_HOUSTON,2017,01,24.827365591397847,3.0,96.36,7.946976082218833,0.3597172454025599
LZ_HOUSTON,2017,02,23.517217261904758,4.52,60.22,8.849387367235073,0.41146525778368687
LZ_HOUSTON,2017,03,28.742005383580082,6.81,152.46,15.08717262375382,0.4054371052891044
